year_month,high,low,medium
2021-01,29.86111111111111,51.388888888888886,18.75
2021-02,9.375,60.863095238095234,29.761904761904763
2021-03,26.881720430107524,56.31720430107527,16.801075268817204
2021-04,19.166666666666668,67.5,13.333333333333334
2021-05,1.3440860215053763,84.2741935483871,14.381720430107528
2021-06,0.0,90.41666666666667,9.583333333333334
2021-07,0.0,92.06989247311827,7.93010752688172
2021-08,0.0,73.11827956989248,26.881720430107524
2021-09,0.9722222222222222,74.16666666666667,24.86111111111111
2021-10,7.93010752688172,63.97849462365591,28.091397849462364
2021-11,32.083333333333336,45.13888888888889,22.77777777777778
2021-12,28.091397849462364,48.11827956989247,23.790322580645164
2022-01,36.96236559139785,41.66666666666667,21.370967741935484
2022-02,63.83928571428571,24.25595238095238,11.904761904761903
2022-03,27.956989247311824,45.83333333333333,26.209677419354836
2022-04,15.138888888888888,65.55555555555556,19.305555555555557
2022-05,1.0752688172043012,88.30645161290323,10.618279569892474
2022-06,0.0,84.58333333333333,15.416666666666668
2022-07,0.0,80.51075268817203,19.489247311827956
2022-08,0.0,79.70430107526882,20.29569892473118
2022-09,2.083333333333333,74.44444444444444,23.47222222222222
2022-10,12.768817204301076,58.73655913978495,28.49462365591398
2022-11,43.47222222222222,36.80555555555556,19.72222222222222
2022-12,42.60752688172043,38.575268817204304,18.817204301075268
2023-01,50.806451612903224,32.39247311827957,16.801075268817204
2023-02,44.642857142857146,34.970238095238095,20.386904761904763
2023-03,29.03225806451613,47.043010752688176,23.9247311827957
2023-04,7.777777777777778,75.41666666666667,16.805555555555557
2023-05,4.032258064516129,85.08064516129032,10.887096774193548
2023-06,0.4166666666666667,86.52777777777779,13.055555555555557
2023-07,0.0,75.67204301075269,24.327956989247312
2023-08,0.0,75.67204301075269,24.327956989247312
2023-09,0.0,67.22222222222223,32.77777777777778
2023-10,26.747311827956988,46.236559139784944,27.016129032258064
2023-11,49.02777777777778,33.611111111111114,17.36111111111111
2023-12,24.596774193548388,50.26881720430107,25.134408602150536
2024-01,31.182795698924732,45.16129032258064,23.655913978494624
2024-02,50.287356321839084,32.90229885057471,16.810344827586206
2024-03,56.451612903225815,27.419354838709676,16.129032258064516
2024-04,20.833333333333336,55.55555555555556,23.61111111111111
2024-05,1.881720430107527,86.15591397849462,11.96236559139785
2024-06,0.0,82.63888888888889,17.36111111111111
2024-07,0.0,78.2258064516129,21.774193548387096
2024-08,0.0,78.09139784946237,21.908602150537636
2024-09,0.2777777777777778,69.86111111111111,29.86111111111111
2024-10,8.064516129032258,61.96236559139785,29.973118279569892
2024-11,51.388888888888886,32.361111111111114,16.25
2024-12,44.354838709677416,36.693548387096776,18.951612903225808
2025-01,32.93010752688172,45.16129032258064,21.908602150537636
2025-02,53.720238095238095,30.654761904761905,15.625
2025-03,29.435483870967744,47.58064516129033,22.983870967741936
2025-04,6.944444444444445,77.5,15.555555555555555
2025-05,2.1505376344086025,83.06451612903226,14.78494623655914
2025-06,0.0,80.83333333333333,19.166666666666668
2025-07,0.0,81.31720430107528,18.682795698924732
2025-08,0.0,77.15053763440861,22.849462365591396
2025-09,0.0,71.02137767220903,28.978622327790976
